Event Receive Time,Incident ID,DayOfWeek(Event Receive Time),HourOfDay(Event Receive Time),Event Type,Event Name,Incident Reporting Device,Incident Source,Incident Target,Host IP,Host Name,Incident Status,Incident Resolution,Incident Tag Name,Incident Comments,Incident Category,Attack Technique,Attack Tactic
2022-10-11 11:20:00,9045,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx55.fortinet-us.com,,"hostIpAddr:172.30.54.55, hostName:ussvnplesx55.fortinet-us.com,",172.30.54.55,ussvnplesx55.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:20:00,7781,2,11,PH_RULE_Linux_Process_Discovery_via_Built_In_Applications,Linux: Process Discovery via Built-In Applications,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""Process Discovery"", ""techniqueid"": ""T1057""}, {""name"": ""Software Discovery: Security Software Discovery"", ""techniqueid"": ""T1518.001""}]",Discovery
2022-10-11 11:20:00,9748,2,11,PH_RULE_Linux_Account_Discovery_via_Built_In_Tools,Linux: Account Discovery via Built-In Tools on $hostName,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""Account Discovery: Local Account"", ""techniqueid"": ""T1087.001""}]",Discovery
2022-10-11 11:20:00,9747,2,11,PH_RULE_Linux_Process_Discovery_via_Built_In_Applications,Linux: Process Discovery via Built-In Applications,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""Process Discovery"", ""techniqueid"": ""T1057""}, {""name"": ""Software Discovery: Security Software Discovery"", ""techniqueid"": ""T1518.001""}]",Discovery
2022-10-11 11:20:00,9676,2,11,PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,ussvnplesx55.fortinet-us.com,,"hostIpAddr:172.30.54.55, hostName:ussvnplesx55.fortinet-us.com,",172.30.54.55,ussvnplesx55.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:20:00,9677,2,11,PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,ussvnplesx55.fortinet-us.com,,"hostIpAddr:172.30.54.55, hostName:ussvnplesx55.fortinet-us.com,",172.30.54.55,ussvnplesx55.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,7780,2,11,PH_RULE_Linux_Process_Discovery_via_Built_In_Applications,Linux: Process Discovery via Built-In Applications,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,2,3,,,4,"[{""name"": ""Process Discovery"", ""techniqueid"": ""T1057""}, {""name"": ""Software Discovery: Security Software Discovery"", ""techniqueid"": ""T1518.001""}]",Discovery
2022-10-11 11:19:30,7778,2,11,PH_RULE_Linux_Discovery_of_Network_Environment_via_Built_in_Tools,Linux: Discovery of Network Environment via Built-in Tools,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""System Network Configuration Discovery: Internet Connection Discovery"", ""techniqueid"": ""T1016.001""}]",Discovery
2022-10-11 11:19:30,9746,2,11,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9745,2,11,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9740,2,11,PH_RULE_SERVER_HW_CRITICAL,Server Hardware Critical,ussvnplesx53.fortinet-us.com,,"hostName:ussvnplesx53.fortinet-us.com, hostIpAddr:172.30.54.53,",172.30.54.53,ussvnplesx53.fortinet-us.com,2,2,,,1,,
2022-10-11 11:19:30,9739,2,11,PH_RULE_Linux_System_Network_Connections_Discovery,Linux: System Network Connections Discovery,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,0,1,,,4,"[{""name"": ""System Network Connections Discovery"", ""techniqueid"": ""T1049""}]",Discovery
2022-10-11 11:19:30,9738,2,11,PH_RULE_Linux_Account_Discovery_via_Built_In_Tools,Linux: Account Discovery via Built-In Tools on $hostName,sp14816.fortinet.com,,"hostName:sp14816,",,sp14816,2,3,,,4,"[{""name"": ""Account Discovery: Local Account"", ""techniqueid"": ""T1087.001""}]",Discovery
2022-10-11 11:19:30,9737,2,11,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9709,2,11,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
2022-10-11 11:19:30,9706,2,11,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
