Event Receive Hour,Host Name,AVG(CPU Util),AVG(Memory Util),SUM(Sent Bytes64) (Byte),SUM(Received Bytes64) (Byte)
2022-01-31 17:00:00,FSM-GFU-Window2012R2-WIN2012R2-172-30-56-123,93.75,47.34,616095815,484943865
2022-01-31 17:00:00,ussvnplesx54.fortinet-us.com,59.83,72.89,84870635520,32735682560
2022-01-31 17:00:00,ussvnplesx58.fortinet-us.com,56.23,68.62,224266854400,12412559360
2022-01-31 17:00:00,ussvnplesx56.fortinet-us.com,51.58,87.10,232396943360,11041157120
2022-01-31 17:00:00,ussvnplesx59.fortinet-us.com,49.88,72.39,130975723520,98769346560
2022-01-31 17:00:00,FSM-GFU1-Window2022-WIN2022-172-30-56-125,47.29,47.21,1192137585,876864745
2022-01-31 17:00:00,ussvnplesx51.fortinet-us.com,46.65,90.01,62385561600,28984074240
2022-01-31 17:00:00,ussvnplesx53.fortinet-us.com,46.17,85.48,60669501440,19661025280
2022-01-31 17:00:00,ussvnplesx52.fortinet-us.com,45.36,89.92,52314869760,14992834560
2022-01-31 17:00:00,ussvnplesx57.fortinet-us.com,44.08,92.13,110269378560,100555980800
2022-01-31 17:00:00,ussvnplesx55.fortinet-us.com,43.44,90.00,35759411200,8742215680
2022-01-31 17:00:00,FSM-GFU-Window10-WIN10-172-30-56-127,17.41,33.82,597699160,680441953
2022-01-31 17:00:00,FSM-GFU-Window2016-WIN2016test-172-30-56-126.gfu.com,17.30,48.15,389013416,227611640
2022-01-31 17:00:00,WIN-QA-RDP-230,8.65,28.47,397097388,256664886
2022-01-31 17:00:00,FSM-CPWANG-WIND2019-172-30-56-214,8.16,45.89,549337230,219300220
2022-01-31 17:00:00,WIN-2R27C8ADMT3.fortisiem-lab.net,6.53,22.05,701752532,5182861444
2022-01-31 17:00:00,FSM-RPRAJUDHA-CENTOS8-NFS217-172.30.57.217,1.84,37.64,28774216,26085897
2022-01-31 17:00:00,fsm-ntwk-wlan01,1.10,57.30,9810161,26012311
2022-01-31 17:00:00,it-rle-oradb-57141,0.60,2.16,78191596,61654449
2022-01-31 17:00:00,FSM-TTRINH-CENTOS8-KAFKA-172.30.56.34,0.53,36.73,74695961,40112493
