_time,bits_transferred
"2005-06-07 07:00:00",5548947933
"2005-06-07 09:00:00",7138793066
"2005-06-07 11:00:00",7516418311
"2005-06-07 13:00:00",7517711314
"2005-06-07 15:00:00",6700932379
"2005-06-07 17:00:00",4366913671
"2005-06-07 19:00:00",3644044910
"2005-06-07 21:00:00",2854855467
"2005-06-07 23:00:00",2187882308
"2005-06-08 01:00:00",1707555092
"2005-06-08 03:00:00",1762177952
"2005-06-08 05:00:00",2861288033
"2005-06-08 07:00:00",6275353187
"2005-06-08 09:00:00",7905219196
"2005-06-08 11:00:00",7592669253
"2005-06-08 13:00:00",7611380364
"2005-06-08 15:00:00",5911481105
"2005-06-08 17:00:00",4428490173
"2005-06-08 19:00:00",3667110796
"2005-06-08 21:00:00",2567318060
"2005-06-08 23:00:00",1951330454
"2005-06-09 01:00:00",1670931934
"2005-06-09 03:00:00",1705808378
"2005-06-09 05:00:00",3890116773
"2005-06-09 07:00:00",7038539951
"2005-06-09 09:00:00",7610145968
"2005-06-09 11:00:00",7794407982
"2005-06-09 13:00:00",7365095626
"2005-06-09 15:00:00",5179385739
"2005-06-09 17:00:00",3816699817
"2005-06-09 19:00:00",3309293880
"2005-06-09 21:00:00",2312114536
"2005-06-09 23:00:00",1695377775
"2005-06-10 01:00:00",1477897452
"2005-06-10 03:00:00",1852345374
"2005-06-10 05:00:00",4612193204
"2005-06-10 07:00:00",7081480145
"2005-06-10 09:00:00",7297482230
"2005-06-10 11:00:00",7118782716
"2005-06-10 13:00:00",6117574088
"2005-06-10 15:00:00",4130717754
"2005-06-10 17:00:00",3361926202
"2005-06-10 19:00:00",2942193092
"2005-06-10 21:00:00",2207064509
"2005-06-10 23:00:00",1727204954
"2005-06-11 01:00:00",1559878564
"2005-06-11 03:00:00",1518237163
"2005-06-11 05:00:00",1887294333
"2005-06-11 07:00:00",2619177564
"2005-06-11 09:00:00",2914623679
"2005-06-11 11:00:00",3016806189
"2005-06-11 13:00:00",3101748670
"2005-06-11 15:00:00",3025116162
"2005-06-11 17:00:00",2932114386
"2005-06-11 19:00:00",2586511372
"2005-06-11 21:00:00",1930143508
"2005-06-11 23:00:00",1598681891
"2005-06-12 01:00:00",1346586774
"2005-06-12 03:00:00",1399535864
"2005-06-12 05:00:00",1883387554
"2005-06-12 07:00:00",2678160146
"2005-06-12 09:00:00",3127948789
"2005-06-12 11:00:00",3312357186
"2005-06-12 13:00:00",3410400860
"2005-06-12 15:00:00",3485793467
"2005-06-12 17:00:00",3507522079
"2005-06-12 19:00:00",2523338145
"2005-06-12 21:00:00",1822661207
"2005-06-12 23:00:00",1407749905
"2005-06-13 01:00:00",1537511017
"2005-06-13 03:00:00",3084009878
"2005-06-13 05:00:00",6838360553
"2005-06-13 07:00:00",7758356073
"2005-06-13 09:00:00",8020104580
"2005-06-13 11:00:00",7720284910
"2005-06-13 13:00:00",5849785226
"2005-06-13 15:00:00",4117967357
"2005-06-13 17:00:00",3581558664
"2005-06-13 19:00:00",2617622479
"2005-06-13 21:00:00",1848719325
"2005-06-13 23:00:00",1175605198
"2005-06-14 01:00:00",1447005145
"2005-06-14 03:00:00",3170190129
"2005-06-14 05:00:00",5525193641
"2005-06-14 07:00:00",5844774695
"2005-06-14 09:00:00",5909739159
"2005-06-14 11:00:00",5672479523
"2005-06-14 13:00:00",4230753845
"2005-06-14 15:00:00",3258263014
"2005-06-14 17:00:00",2808602369
"2005-06-14 19:00:00",2131498681
"2005-06-14 21:00:00",1630851140
"2005-06-14 23:00:00",1346050622
"2005-06-15 01:00:00",1877559672
"2005-06-15 03:00:00",4727008459
"2005-06-15 05:00:00",7198204538
"2005-06-15 07:00:00",7632071449
"2005-06-15 09:00:00",7783390094
"2005-06-15 11:00:00",7216601273
"2005-06-15 13:00:00",5011603938
"2005-06-15 15:00:00",4149783992
"2005-06-15 17:00:00",3443585183
"2005-06-15 19:00:00",2398857763
"2005-06-15 21:00:00",1732933864
"2005-06-15 23:00:00",1456346218
"2005-06-16 01:00:00",2174979888
"2005-06-16 03:00:00",5162472276
"2005-06-16 05:00:00",7462367221
"2005-06-16 07:00:00",7315231078
"2005-06-16 09:00:00",7574212777
"2005-06-16 11:00:00",6701550218
"2005-06-16 13:00:00",4419091746
"2005-06-16 15:00:00",3761531702
"2005-06-16 17:00:00",2922805907
"2005-06-16 19:00:00",1998014102
"2005-06-16 21:00:00",1605697603
"2005-06-16 23:00:00",1616768698
"2005-06-17 01:00:00",2608344001
"2005-06-17 03:00:00",5753228308
"2005-06-17 05:00:00",7192057670
"2005-06-17 07:00:00",7241139180
"2005-06-17 09:00:00",6967416487
"2005-06-17 11:00:00",5147432906
"2005-06-17 13:00:00",3591922258
"2005-06-17 15:00:00",3230297281
"2005-06-17 17:00:00",2695254420
"2005-06-17 19:00:00",2058483784
"2005-06-17 21:00:00",1578574755
"2005-06-17 23:00:00",1439002326
"2005-06-18 01:00:00",1600456346
"2005-06-18 03:00:00",2220267472
"2005-06-18 05:00:00",2720837780
"2005-06-18 07:00:00",2868746048
"2005-06-18 09:00:00",2810536331
"2005-06-18 11:00:00",2794968731
"2005-06-18 13:00:00",2733590035
"2005-06-18 15:00:00",2732471887
"2005-06-18 17:00:00",2278708372
"2005-06-18 19:00:00",1851451979
"2005-06-18 21:00:00",1490439912
"2005-06-18 23:00:00",1432516946
"2005-06-19 01:00:00",1570961245
"2005-06-19 03:00:00",2215050006
"2005-06-19 05:00:00",2741464817
"2005-06-19 07:00:00",2833273137
"2005-06-19 09:00:00",2912134440
"2005-06-19 11:00:00",3027397187
"2005-06-19 13:00:00",3236493904
"2005-06-19 15:00:00",3023583719
"2005-06-19 17:00:00",2206611313
"2005-06-19 19:00:00",1587362046
"2005-06-19 21:00:00",1430045130
"2005-06-19 23:00:00",1849906922
"2005-06-20 01:00:00",4402395198
"2005-06-20 03:00:00",7005465674
"2005-06-20 05:00:00",7473005705
"2005-06-20 07:00:00",7683902670
"2005-06-20 09:00:00",6914399097
"2005-06-20 11:00:00",4646008111
"2005-06-20 13:00:00",3698371775
"2005-06-20 15:00:00",3244296107
"2005-06-20 17:00:00",2287569889
"2005-06-20 19:00:00",1640212914
"2005-06-20 21:00:00",1461403565
"2005-06-20 23:00:00",2032329943
"2005-06-21 01:00:00",5386460939
"2005-06-21 03:00:00",7281802331
"2005-06-21 05:00:00",7544092663
"2005-06-21 07:00:00",7824678978
"2005-06-21 09:00:00",6585493722
"2005-06-21 11:00:00",4213223891
"2005-06-21 13:00:00",3502710882
"2005-06-21 15:00:00",3119511314
"2005-06-21 17:00:00",2026975933
"2005-06-21 19:00:00",1559809307
"2005-06-21 21:00:00",1425105692
"2005-06-21 23:00:00",2396738453
"2005-06-22 01:00:00",5326937218
"2005-06-22 03:00:00",7585221181
"2005-06-22 05:00:00",7979248727
"2005-06-22 07:00:00",7577931095
"2005-06-22 09:00:00",5956554245
"2005-06-22 11:00:00",4134256034
"2005-06-22 13:00:00",3675239527
"2005-06-22 15:00:00",3054912510
"2005-06-22 17:00:00",2032625116
"2005-06-22 19:00:00",1624481791
"2005-06-22 21:00:00",1625004217
"2005-06-22 23:00:00",3045347639
"2005-06-23 01:00:00",6243598757
"2005-06-23 03:00:00",7237706765
"2005-06-23 05:00:00",7199663415
"2005-06-23 07:00:00",7138564755
"2005-06-23 09:00:00",5364602816
"2005-06-23 11:00:00",3690652239
"2005-06-23 13:00:00",3348983021
"2005-06-23 15:00:00",2611508875
"2005-06-23 17:00:00",1866836802
"2005-06-23 19:00:00",1603676651
"2005-06-23 21:00:00",1763542716
"2005-06-23 23:00:00",3708728930
"2005-06-24 01:00:00",6431342470
"2005-06-24 03:00:00",6996926941
"2005-06-24 05:00:00",6864048469
"2005-06-24 07:00:00",5944933256
"2005-06-24 09:00:00",4146250882
"2005-06-24 11:00:00",3273631593
"2005-06-24 13:00:00",2893793247
"2005-06-24 15:00:00",2167260963
"2005-06-24 17:00:00",1686385274
"2005-06-24 19:00:00",1471269492
"2005-06-24 21:00:00",1429397083
"2005-06-24 23:00:00",1745335603
"2005-06-25 01:00:00",2452664993
"2005-06-25 03:00:00",2867544718
"2005-06-25 05:00:00",2910046225
"2005-06-25 07:00:00",2815484959
"2005-06-25 09:00:00",2690381123
"2005-06-25 11:00:00",2799750401
"2005-06-25 13:00:00",2534167756
"2005-06-25 15:00:00",2032608843
"2005-06-25 17:00:00",1679597872
"2005-06-25 19:00:00",1486211039
"2005-06-25 21:00:00",1484070765
"2005-06-25 23:00:00",1767825543
"2005-06-26 01:00:00",2537669611
"2005-06-26 03:00:00",2841974124
"2005-06-26 05:00:00",2931886069
"2005-06-26 07:00:00",2940712582
"2005-06-26 09:00:00",2883791046
"2005-06-26 11:00:00",3036359208
"2005-06-26 13:00:00",2641289563
"2005-06-26 15:00:00",1918770685
"2005-06-26 17:00:00",1501498634
"2005-06-26 19:00:00",1370938752
"2005-06-26 21:00:00",2527133031
"2005-06-26 23:00:00",5807145410
"2005-06-27 01:00:00",7484732763
"2005-06-27 03:00:00",7519390786
"2005-06-27 05:00:00",7732662251
"2005-06-27 07:00:00",6170641170
"2005-06-27 09:00:00",4044020322
"2005-06-27 11:00:00",3513668265
"2005-06-27 13:00:00",2779965454
"2005-06-27 15:00:00",2162409055
"2005-06-27 17:00:00",1799235535
"2005-06-27 19:00:00",1595658462
"2005-06-27 21:00:00",3143670342
"2005-06-27 23:00:00",6491067934
"2005-06-28 01:00:00",7439467370
"2005-06-28 03:00:00",7606782798
"2005-06-28 05:00:00",7564174240
"2005-06-28 07:00:00",5812200906
"2005-06-28 09:00:00",3974232379
"2005-06-28 11:00:00",3490643065
"2005-06-28 13:00:00",2692006030
"2005-06-28 15:00:00",1984804265
"2005-06-28 17:00:00",1710369034
"2005-06-28 19:00:00",1900517299
"2005-06-28 21:00:00",3749784780
"2005-06-28 23:00:00",6780182748
"2005-06-29 01:00:00",7274138338
"2005-06-29 03:00:00",7352209290
"2005-06-29 05:00:00",7014372410
"2005-06-29 07:00:00",4860133137
"2005-06-29 09:00:00",3722186411
"2005-06-29 11:00:00",3348873627
